domain_accession,n_species,species_fraction,category,domain_name,description,clan_accession,clan_id
PF07718,20,1.0,core,Coatamer_beta_C,Coatomer beta C-terminal region,CL0159,E-set
PF08389,20,1.0,core,Xpo1,Exportin 1-like protein,CL0020,TPR
PF06733,20,1.0,core,DEAD_2,DEAD_2,CL0023,P-loop_NTPase
PF06728,20,1.0,core,PIG-U,GPI transamidase subunit PIG-U,CL0111,GT-C
PF06705,20,1.0,core,SF-assemblin,SF-assemblin/beta giardin,,
PF06658,20,1.0,core,DUF1168,Protein of unknown function (DUF1168),,
PF06644,20,1.0,core,ATP11,ATP11 protein,,
PF06589,20,1.0,core,CRA,Circumsporozoite-related antigen (CRA),,
PF06544,20,1.0,core,Prp3_C,"Small nuclear ribonucleoprotein Prp3, C-terminal domain",CL0622,Acylphosphatase
PF06487,20,1.0,core,SAP18,Sin3 associated polypeptide p18 (SAP18),CL0072,Ubiquitin
PF06480,20,1.0,core,FtsH_ext,FtsH Extracellular,,
PF06470,20,1.0,core,SMC_hinge,SMC proteins Flexible Hinge Domain,,
PF06421,20,1.0,core,LepA_C,GTP-binding protein LepA C-terminus,,
PF06418,20,1.0,core,CTP_synth_N,CTP synthase N-terminus,CL0023,P-loop_NTPase
PF06417,20,1.0,core,EMC4,ER membrane protein complex subunit 4,,
PF06391,20,1.0,core,MAT1,CDK-activating kinase assembly factor MAT1,,
PF06337,20,1.0,core,DUSP,DUSP domain,,
PF06294,20,1.0,core,CH_2,CH-like domain in sperm protein,CL0188,CH
PF06247,20,1.0,core,Plasmod_Pvs28,Pvs28 EGF domain,CL0001,EGF
PF06246,20,1.0,core,Isy1,Isy1-like splicing family,,
PF06220,20,1.0,core,zf-U1,U1 zinc finger,CL0361,C2H2-zf
PF06201,20,1.0,core,PITH,PITH domain,CL0202,GBD
PF06093,20,1.0,core,Spt4,Spt4/RpoE2 zinc finger,CL0167,Zn_Beta_Ribbon
PF06071,20,1.0,core,YchF-GTPase_C,Protein of unknown function (DUF933),CL0072,Ubiquitin
PF06068,20,1.0,core,TIP49,TIP49 P-loop domain,CL0023,P-loop_NTPase
PF06058,20,1.0,core,DCP1,Dcp1-like decapping family,CL0266,PH
PF06047,20,1.0,core,Nkap_C,NF-kappa-B-activating protein C-terminal domain,,
PF06039,20,1.0,core,Mqo,Malate:quinone oxidoreductase (Mqo),CL0063,NADP_Rossmann
PF06732,20,1.0,core,Pescadillo_N,Pescadillo N-terminus,,
PF06777,20,1.0,core,HBB,Helical and beta-bridge domain,CL0823,XPD_ARCH
PF07717,20,1.0,core,OB_NTP_bind,Oligonucleotide/oligosaccharide-binding (OB)-fold,CL0021,OB
PF06825,20,1.0,core,HSBP1,Heat shock factor binding protein 1,,
PF07714,20,1.0,core,PK_Tyr_Ser-Thr,Protein tyrosine and serine/threonine kinase,CL0016,PKinase
PF07699,20,1.0,core,Ephrin_rec_like,Tyrosine-protein kinase ephrin type A/B receptor-like ,CL0001,EGF
PF07691,20,1.0,core,PA14,PA14 domain,CL0301,PA14
PF07690,20,1.0,core,MFS_1,Major Facilitator Superfamily,CL0015,MFS
PF07650,20,1.0,core,KH_2,KH domain,CL0007,KH
PF07647,20,1.0,core,SAM_2,SAM domain (Sterile alpha motif),CL0003,SAM
PF07572,20,1.0,core,BCNT,Bucentaur or craniofacial development,,
PF07541,20,1.0,core,EIF_2_alpha,Eukaryotic translation initiation factor 2 alpha subunit,,
PF07534,20,1.0,core,TLD,TLDc domain,,
PF07521,20,1.0,core,RMMBL,Zn-dependent metallo-hydrolase RNA specificity domain,CL0398,RMMBL_DRMBL
PF07500,20,1.0,core,TFIIS_M,"Transcription factor S-II (TFIIS), central domain",,
PF07496,20,1.0,core,zf-CW,CW-type Zinc Finger,CL0229,RING
PF07479,20,1.0,core,NAD_Gly3P_dh_C,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,CL0106,6PGD_C
PF07462,20,1.0,core,MSP1_C,Merozoite surface protein 1 (MSP1) C-terminus,,
PF07422,20,1.0,core,s48_45,Sexual stage antigen s48/45 domain,,
PF07218,20,1.0,core,RAP1,Rhoptry-associated protein 1 (RAP-1),,
PF07065,20,1.0,core,D123,D123,CL0179,ATP-grasp
PF07052,20,1.0,core,Hep_59,Hepatocellular carcinoma-associated antigen 59,,
PF07047,20,1.0,core,OPA3,Optic atrophy 3 protein (OPA3),,
PF07035,20,1.0,core,RMC1_C,"Regulator of MON1-CCZ1 complex, C-terminal",,
PF07019,20,1.0,core,EMC6,EMC6,CL0706,EMC6
PF06984,20,1.0,core,MRP-L47,Mitochondrial 39-S ribosomal protein L47 (MRP-L47),CL0346,Ribo_L29
PF06957,20,1.0,core,COPI_C,Coatomer (COPI) alpha subunit C-terminus,CL0020,TPR
PF06916,20,1.0,core,FAM210A-B_dom,FAM210A/B-like domain,,
PF06858,20,1.0,core,NOG1,Nucleolar GTP-binding protein 1 (NOG1),CL0023,P-loop_NTPase
PF08385,20,1.0,core,DHC_N1,"Dynein heavy chain, N-terminal region 1",,
PF08393,20,1.0,core,DHC_N2,"Dynein heavy chain, N-terminal region 2",,
PF05983,20,1.0,core,Med7,MED7 protein,,
PF09785,20,1.0,core,Prp31_C,Prp31 C terminal domain,,
PF09758,20,1.0,core,FPL,Uncharacterised conserved protein,,
PF09749,20,1.0,core,HVSL,Uncharacterised conserved protein,CL0247,2H
PF09739,20,1.0,core,MCM_bind,Mini-chromosome maintenance replisome factor,,
PF09736,20,1.0,core,Bud13,Pre-mRNA-splicing factor of RES complex,,
PF09734,20,1.0,core,Tau95,RNA polymerase III transcription factor (TF)IIIC subunit HTH domain,CL0123,HTH
PF09732,20,1.0,core,CactinC_cactus,Cactus-binding C-terminus of cactin protein,,
PF09717,20,1.0,core,CPW_WPC,Plasmodium falciparum domain of unknown function (CPW_WPC),,
PF09716,20,1.0,core,ETRAMP,Malarial early transcribed membrane protein (ETRAMP),,
PF09688,20,1.0,core,Wx5_PLAF3D7,Protein of unknown function (Wx5_PLAF3D7),,
PF09687,20,1.0,core,PRESAN,Plasmodium RESA N-terminal,,
PF09668,20,1.0,core,Asp_protease,Aspartyl protease,CL0129,Peptidase_AA
PF09445,20,1.0,core,Methyltransf_15,RNA cap guanine-N2 methyltransferase,CL0063,NADP_Rossmann
PF09439,20,1.0,core,SRPRB,Signal recognition particle receptor beta subunit,CL0023,P-loop_NTPase
PF09418,20,1.0,core,DUF2009,"Non-canonical E2 ubiquitin-conjugating enzyme, DUF2009 family",,
PF09416,20,1.0,core,UPF1_Zn_bind,RNA helicase (UPF2 interacting domain),CL0229,RING
PF09409,20,1.0,core,PUB,PUB domain,,
PF09382,20,1.0,core,RQC,RQC domain,CL0123,HTH
PF09368,20,1.0,core,Sas10,Sas10 C-terminal domain,,
PF09360,20,1.0,core,zf-CDGSH,Iron-binding zinc finger CDGSH type,,
PF09359,20,1.0,core,VTC,VTC domain,CL0273,CYTH
PF09340,20,1.0,core,NuA4,Histone acetyltransferase subunit NuA4,,
PF09336,20,1.0,core,Vps4_C,Vps4 C terminal oligomerisation domain,CL0671,AAA_lid
PF09335,20,1.0,core,VTT_dom,VTT domain,,
PF09334,20,1.0,core,tRNA-synt_1g,tRNA synthetases class I (M),CL0039,HUP
PF09282,20,1.0,core,Mago-bind,Mago binding,,
PF09768,20,1.0,core,Peptidase_M76,Peptidase M76 family,CL0126,Peptidase_MA
PF09793,20,1.0,core,AD,Anticodon-binding domain,,
PF09243,20,1.0,core,Rsm22,Mitochondrial small ribosomal subunit Rsm22,CL0063,NADP_Rossmann
PF09810,20,1.0,core,Exo5,Exonuclease V - a 5' deoxyribonuclease,CL0236,PDDEXK
PF10437,20,1.0,core,Lip_prot_lig_C,Bacterial lipoate protein ligase C-terminus,CL0233,SufE_NifU
PF10433,20,1.0,core,Beta-prop_RSE1_1st,RSE1/DDB1/CPSF1 first beta-propeller,CL0186,Beta_propeller
PF10431,20,1.0,core,ClpB_D2-small,"C-terminal, D2-small domain, of ClpB protein ",CL0671,AAA_lid
PF10417,20,1.0,core,1-cysPrx_C,C-terminal domain of 1-Cys peroxiredoxin,,
PF10408,20,1.0,core,Ufd2P_core,Ubiquitin elongating factor core,CL0020,TPR
PF10403,20,1.0,core,BHD_1,Rad4 beta-hairpin domain 1,CL0700,ArdcN
PF10396,20,1.0,core,TrmE_N,GTP-binding protein TrmE N-terminus,CL0289,FBD
PF10357,20,1.0,core,WH_KIN17,KIN17 WH-like domain,CL0123,HTH
PF10354,20,1.0,core,BMT5-like,rRNA (uridine-N3-)-methyltransferase BTM5-like,CL0063,NADP_Rossmann
PF10312,20,1.0,core,Cactin_mid,Conserved mid region of cactin,,
PF10294,20,1.0,core,Methyltransf_16,Lysine methyltransferase,CL0063,NADP_Rossmann
PF10273,20,1.0,core,WGG,Pre-rRNA-processing protein TSR2,,
PF10260,20,1.0,core,SAYSvFN,Uncharacterized conserved domain (SAYSvFN),,
PF10258,20,1.0,core,PHAX_RNA-bd,"Phosphorylated adapter RNA export protein, RNA-binding domain",,
PF10255,20,1.0,core,Paf67,RNA polymerase I-associated factor PAF67,CL0020,TPR
PF10250,20,1.0,core,O-FucT,GDP-fucose protein O-fucosyltransferase,CL0113,GT-B
PF10247,20,1.0,core,Romo1,Reactive mitochondrial oxygen species modulator 1,CL0500,Glycine-zipper
PF10238,20,1.0,core,Eapp_C,EAPP beta-tent domain,CL0080,Beta-tent
PF10236,20,1.0,core,DAP3,Mitochondrial ribosomal death-associated protein 3,CL0023,P-loop_NTPase
PF10211,20,1.0,core,Ax_dynein_light,Axonemal dynein light chain,,
PF10203,20,1.0,core,Pet191_N,Cytochrome c oxidase assembly protein PET191,,
PF10192,20,1.0,core,GPR180-TMEM145_TM,"GPR180/TMEM145, transmembrane domain",CL0192,GPCR_A
PF10075,20,1.0,core,CSN8_PSD8_EIF3K,CSN8/PSMD8/EIF3K family,CL0123,HTH
PF10036,20,1.0,core,RLL,"RNA transcription, translation and transport factor protein",,
PF10034,20,1.0,core,Dpy19,Q-cell neuroblast polarisation,CL0111,GT-C
PF09269,20,1.0,core,DUF1967,Domain of unknown function (DUF1967),,
PF09229,20,1.0,core,Aha1_N,"Activator of Hsp90 ATPase, N-terminal",CL0648,Aha1_BPI
PF08423,20,1.0,core,Rad51,Rad51,CL0023,P-loop_NTPase
PF08644,20,1.0,core,SPT16,FACT complex subunit (SPT16/CDC68),CL0266,PH
PF08638,20,1.0,core,Med14,Mediator complex subunit MED14,,
PF08627,20,1.0,core,CRT-like,"CRT-like, chloroquine-resistance transporter-like",CL0184,DMT
PF08617,20,1.0,core,CGI-121,Kinase binding protein CGI-121,,
PF08615,20,1.0,core,RNase_H2_suC,Ribonuclease H2 non-catalytic subunit (Ylr154p-like),CL0662,Triple_barrel
PF08613,20,1.0,core,Cyclin,Cyclin,CL0065,Cyclin
PF08608,20,1.0,core,Wyosine_form,Wyosine base formation,,
PF08606,20,1.0,core,Prp19,Prp19/Pso4-like,,
PF08603,20,1.0,core,CAP_C,Adenylate cyclase associated (CAP) C terminal,CL0391,CAP_C-like
PF08583,20,1.0,core,Cmc1,Cytochrome c oxidase biogenesis protein Cmc1 like,CL0351,CHCH
PF08573,20,1.0,core,SAE2,DNA endonuclease activator SAE2/CtIP C-terminus,,
PF08572,20,1.0,core,PRP3,pre-mRNA processing factor 3 domain,,
PF08561,20,1.0,core,Ribosomal_L37,Mitochondrial ribosomal protein L37,,
PF08555,20,1.0,core,FAM32A,FAM32A,,
PF08543,20,1.0,core,Phos_pyr_kin,Phosphomethylpyrimidine kinase,CL0118,Ribokinase
PF08542,20,1.0,core,Rep_fac_C,Replication factor C C-terminal domain,CL0604,post-AAA
PF08534,20,1.0,core,Redoxin,Redoxin,CL0172,Thioredoxin
PF08523,20,1.0,core,MBF1,Multiprotein bridging factor 1,,
PF08519,20,1.0,core,RFC1,Replication factor RFC1 C terminal domain,,
PF08514,20,1.0,core,STAG,STAG domain  ,CL0020,TPR
PF08513,20,1.0,core,LisH,LisH,CL0561,LisH
PF08512,20,1.0,core,Rttp106-like_middle,"Histone chaperone Rttp106-like, middle domain",CL0266,PH
PF08477,20,1.0,core,Roc,"Ras of Complex, Roc, domain of DAPkinase",CL0023,P-loop_NTPase
PF08449,20,1.0,core,UAA,UAA transporter family,CL0184,DMT
PF08442,20,1.0,core,ATP-grasp_2,ATP-grasp domain,CL0179,ATP-grasp
PF08436,20,1.0,core,DXP_redisom_C,1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain,CL0139,GADPH_aa-bio_dh
PF08640,20,1.0,core,U3_assoc_6,U3 small nucleolar RNA-associated protein 6,CL0020,TPR
PF08645,20,1.0,core,PNK3P,Polynucleotide kinase 3 phosphatase,CL0137,HAD
PF09202,20,1.0,core,Rio2_N,"Rio2, N-terminal",CL0123,HTH
PF08646,20,1.0,core,Rep_fac-A_C,Replication factor-A C terminal domain,CL0021,OB
PF09180,20,1.0,core,ProRS-C_1,"Prolyl-tRNA synthetase, C-terminal",,
PF09177,20,1.0,core,STX6_10_61_N,"Syntaxin 6/10/61, N-terminal",,
PF09173,20,1.0,core,eIF2_C,"Initiation factor eIF2 gamma, C terminal",CL0740,GCV_T_C
PF09138,20,1.0,core,Urm1,Urm1 (Ubiquitin related modifier),CL0072,Ubiquitin
PF09070,20,1.0,core,PFU,PFU (PLAA family ubiquitin binding),,
PF09066,20,1.0,core,B2-adapt-app_C,"Beta2-adaptin appendage, C-terminal sub-domain",CL0545,APCOP-app_sub
PF09011,20,1.0,core,HMG_box_2,HMG-box domain,CL0114,HMG-box
PF08920,20,1.0,core,SF3b1,Splicing factor 3B subunit 1,CL0462,TPA-repeat
PF08799,20,1.0,core,PRP4,pre-mRNA processing factor 4 (PRP4) like,CL0306,HeH
PF08773,20,1.0,core,CathepsinC_exc,Cathepsin C exclusion domain,CL0116,Calycin
PF08772,20,1.0,core,Zn_ribbon_NOB1,Nin one binding (NOB1) Zn-ribbon like,CL0167,Zn_Beta_Ribbon
PF08767,20,1.0,core,CRM1_C,CRM1 C terminal,CL0020,TPR
PF08755,20,1.0,core,YccV-like,Hemimethylated DNA-binding protein YccV like,,
PF08752,20,1.0,core,COP-gamma_platf,Coatomer gamma subunit appendage platform subdomain,CL0159,E-set
PF08740,20,1.0,core,BCS1_N,BCS1 N terminal,,
PF08718,20,1.0,core,GLTP,Glycolipid transfer protein (GLTP),,
PF08711,20,1.0,core,Med26,TFIIS helical bundle-like domain,,
PF08704,20,1.0,core,GCD14,tRNA methyltransferase complex GCD14 subunit,CL0063,NADP_Rossmann
PF08700,20,1.0,core,VPS51_Exo84_N,Vps51/EXO84/COG1 N-terminal,CL0020,TPR
PF08698,20,1.0,core,Fcf2,Fcf2 pre-rRNA processing,,
PF08676,20,1.0,core,MutL_C,MutL C terminal dimerisation domain,,
PF08669,20,1.0,core,GCV_T_C,Glycine cleavage T-protein C-terminal barrel domain,CL0740,GCV_T_C
PF08662,20,1.0,core,eIF2A,Eukaryotic translation initiation factor eIF2A,CL0186,Beta_propeller
PF08661,20,1.0,core,Rep_fac-A_3,Replication factor A protein 3,CL0021,OB
PF08648,20,1.0,core,SNRNP27,U4/U6.U5 small nuclear ribonucleoproteins,,
PF06026,20,1.0,core,Rib_5-P_isom_A,Ribose 5-phosphate isomerase A (phosphoriboisomerase A),CL0063,NADP_Rossmann
PF05971,20,1.0,core,Methyltransf_10,RNA methyltransferase,CL0063,NADP_Rossmann
PF10469,20,1.0,core,AKAP7_NLS,AKAP7 2'5' RNA ligase-like domain,CL0247,2H
PF04114,20,1.0,core,Gaa1,"Gaa1-like, GPI transamidase component ",,
PF04106,20,1.0,core,ATG5_UblB,"Autophagy protein ATG5, UblB domain",CL0072,Ubiquitin
PF04104,20,1.0,core,DNA_primase_lrg,"Eukaryotic and archaeal DNA primase, large subunit C-terminal domain",CL0242,DNA_primase_lrg
PF04101,20,1.0,core,Glyco_tran_28_C,Glycosyltransferase family 28 C-terminal domain,CL0113,GT-B
PF04100,20,1.0,core,Vps53_N,"Vps53, N-terminal ",CL0020,TPR
PF04099,20,1.0,core,Sybindin,Sybindin-like family ,CL0431,PF
PF04084,20,1.0,core,RecA-like_ORC2,Origin recognition complex subunit 2 RecA-like domain,CL0023,P-loop_NTPase
PF04083,20,1.0,core,Abhydro_lipase,Partial alpha/beta-hydrolase lipase region,CL0028,AB_hydrolase
PF04078,20,1.0,core,Rcd1,"Cell differentiation family, Rcd1-like ",CL0020,TPR
PF04073,20,1.0,core,tRNA_edit,Aminoacyl-tRNA editing domain,,
PF04072,20,1.0,core,LCM,Leucine carboxyl methyltransferase,CL0063,NADP_Rossmann
PF04068,20,1.0,core,Fer4_RLI,"Possible Fer4-like domain in RNase L inhibitor, RLI",CL0344,4Fe-4S
PF04059,20,1.0,core,RRM_2,RNA recognition motif 2,CL0221,RRM
PF04056,20,1.0,core,Ssl1,Ssl1-like,CL0128,vWA-like
PF04055,20,1.0,core,Radical_SAM,Radical SAM superfamily,CL0036,TIM_barrel
PF04054,20,1.0,core,Not1,"CCR4-Not complex component, Not1",CL0020,TPR
PF04053,20,1.0,core,B-prop_COPA_B_2nd,COPA/B second beta-propeller,CL0186,Beta_propeller
PF04051,20,1.0,core,TRAPP,Transport protein particle (TRAPP) component,CL0210,HNOX-like
PF04046,20,1.0,core,PSP,PSP,,
PF04042,20,1.0,core,DNA_pol_E_B,DNA polymerase alpha/epsilon subunit B,CL0163,Calcineurin
PF04037,20,1.0,core,DUF382,Domain of unknown function (DUF382) ,,
PF04034,20,1.0,core,Ribo_biogen_C,"Ribosome biogenesis protein, C-terminal",CL0098,SPOUT
PF04032,20,1.0,core,Rpr2,RNAse P Rpr2/Rpp21/SNM1 subunit domain,CL0167,Zn_Beta_Ribbon
PF04006,20,1.0,core,Mpp10,Mpp10 protein,,
PF04000,20,1.0,core,Sas10_Utp3,Sas10/Utp3/C1D family,,
PF03989,20,1.0,core,DNA_gyraseA_C,"DNA gyrase C-terminal domain, beta-propeller",,
PF04112,20,1.0,core,Mak10,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase",,
PF04118,20,1.0,core,Dopey_N,"Dopey, N-terminal",CL0020,TPR
PF03981,20,1.0,core,Ubiq_cyt_C_chap,Ubiquinol-cytochrome C chaperone ,,
PF04130,20,1.0,core,GCP_C_terminal,Gamma tubulin complex component C-terminal,CL0540,GCP
PF04406,20,1.0,core,TP6A_N,Type IIB DNA topoisomerase,,
PF04384,20,1.0,core,Fe-S_assembly,Iron-sulphur cluster assembly,,
PF04280,20,1.0,core,Tim44,Tim44-like domain,CL0051,NTF2
PF04278,20,1.0,core,Tic22,Tic22-like family,CL0996,TIC_22-like
PF04265,20,1.0,core,TPK_B1_binding,"Thiamin pyrophosphokinase, vitamin B1 binding domain",,
PF04263,20,1.0,core,TPK_catalytic,"Thiamin pyrophosphokinase, catalytic domain",CL0948,GT29-like
PF04252,20,1.0,core,SFM1-like,Protein arginine N-methyltransferase SFM1-like,CL0098,SPOUT
PF04212,20,1.0,core,MIT,MIT (microtubule interacting and transport) domain,CL0745,MIT
PF04194,20,1.0,core,PDCD2_C,"Programmed cell death protein 2, C-terminal putative domain ",,
PF04192,20,1.0,core,Utp21,Utp21 specific WD40 associated putative domain ,,
PF04190,20,1.0,core,GET4,Golgi to ER traffic protein 4,CL0020,TPR
PF04189,20,1.0,core,Gcd10p,Gcd10p family,,
PF04188,20,1.0,core,Mannosyl_trans2,Mannosyltransferase (PIG-V),CL0111,GT-C
PF04182,20,1.0,core,B-block_TFIIIC,B-block binding subunit of TFIIIC,CL0123,HTH
PF04181,20,1.0,core,RPAP2_Rtr1,Rtr1/RPAP2 family,,
PF04178,20,1.0,core,Got1,Got1/Sft2-like family ,CL0752,PsbQ-like
PF04177,20,1.0,core,TAP42,TAP42-like family,CL0020,TPR
PF04158,20,1.0,core,Sof1,Sof1-like domain ,,
PF04153,20,1.0,core,NOT2_3_5_C,NOT2/NOT3/NOT5 C-terminal,CL0010,SH3
PF04152,20,1.0,core,Mre11_DNA_bind,Mre11 DNA-binding presumed domain ,,
PF04146,20,1.0,core,YTH,YT521-B-like domain,CL0178,PUA
PF04145,20,1.0,core,Ctr,Ctr copper transporter family,,
PF04142,20,1.0,core,Nuc_sug_transp,Nucleotide-sugar transporter,CL0184,DMT
PF04140,20,1.0,core,ICMT,Isoprenylcysteine carboxyl methyltransferase (ICMT) family ,CL0115,Steroid_dh
PF04137,20,1.0,core,ERO1,Endoplasmic Reticulum Oxidoreductin 1 (ERO1),,
PF03987,20,1.0,core,Autophagy_act_C,"Autophagocytosis associated protein, active-site domain ",CL0097,TypeIII_Chap
PF03969,20,1.0,core,AFG1_ATPase,AFG1-like ATPase,CL0023,P-loop_NTPase
PF04410,20,1.0,core,Gar1,Gar1/Naf1 RNA binding region,CL0866,ALR_C-like
PF03798,20,1.0,core,TRAM_LAG1_CLN8,TLC domain,,
PF03764,20,1.0,core,EFG_IV,"Elongation factor G, domain IV",CL0329,S5
PF03727,20,1.0,core,Hexokinase_2,Hexokinase,CL0108,Actin_ATPase
PF03725,20,1.0,core,RNase_PH_C,"3' exoribonuclease family, domain 2",,
PF03719,20,1.0,core,Ribosomal_S5_C,"Ribosomal protein S5, C-terminal domain",CL0329,S5
PF03715,20,1.0,core,Noc2,Noc2p family,,
PF03690,20,1.0,core,MYG1_exonuc,Uncharacterised protein family (UPF0160),CL0137,HAD
PF03661,20,1.0,core,TMEM33_Pom33,Transmembrane protein 33/Nucleoporin POM33,,
PF03657,20,1.0,core,UPF0113,UPF0113 PUA domain,CL0178,PUA
PF03650,20,1.0,core,MPC,Mitochondrial pyruvate carriers,CL0141,MtN3-like
PF03645,20,1.0,core,Tctex-1,Tctex-1 family,,
PF03643,20,1.0,core,Vps26,Vacuolar protein sorting-associated protein 26 ,CL0135,Arrestin_N-like
PF03641,20,1.0,core,Lysine_decarbox,Possible lysine decarboxylase,CL0349,SLOG
PF03635,20,1.0,core,Vps35,Vacuolar protein sorting-associated protein 35 ,CL0020,TPR
PF03630,20,1.0,core,Fumble,Fumble ,CL0108,Actin_ATPase
PF03607,20,1.0,core,DCX,Doublecortin,CL0072,Ubiquitin
PF03602,20,1.0,core,Cons_hypoth95,Conserved hypothetical protein 95,CL0063,NADP_Rossmann
PF03588,20,1.0,core,Leu_Phe_trans,Leucyl/phenylalanyl-tRNA protein transferase,CL0257,Acetyltrans
PF03587,20,1.0,core,EMG1,EMG1/NEP1 methyltransferase,CL0098,SPOUT
PF03561,20,1.0,core,Allantoicase,Allantoicase repeat,CL0202,GBD
PF03540,20,1.0,core,TAF10,Transcription initiation factor TFIID 23-30kDa subunit,CL0012,Histone
PF03531,20,1.0,core,SSrecog,Structure-specific recognition protein (SSRP1),CL0266,PH
