domain_accession,n_carriers,n_species_present,n_species_absent,avoidance_score,expected_species_absent,excess_absence,poisson_binomial_p,n_clades_present,n_clades_absent,clade_avoidance_score,absent_clades,present_species,q_value,significant_q05,domain_name,description,clan_accession,clan_id
PF07418,45,4,16,0.8,2.616,13.384,2.509445987595169e-12,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium vinckei petteri; Plasmodium yoelii,3.263673920533495e-10,True,PCEMA1,Acidic phosphoprotein precursor PCEMA1,,
PF06022,2224,7,13,0.65,0.0,13.0,0.0,3,4,0.5714,"Laverania (ape); Laverania (human); avian; primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium gonderi; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium vinckei petteri; Plasmodium yoelii,0.0,True,Cir_Bir_Yir,Plasmodium variant antigen protein Cir/Yir/Bir,CL0411,Vir
PF09715,29,3,17,0.85,5.17,11.83,2.5820044457669414e-08,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,3.1813012671265315e-06,True,Plasmod_dom_1,Plasmodium protein of unknown function (Plasmod_dom_1),,
PF01391,43,9,11,0.55,2.723,8.277,1.069025154707029e-05,4,3,0.4286,"Laverania (human); avian; primate (simian, zoonotic)",Plasmodium brasilianum; Plasmodium cynomolgi; Plasmodium gonderi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium vivax; Plasmodium yoelii,0.0012512939435845776,True,Collagen,Collagen triple helix repeat (20 copies),,
PF12879,662,14,6,0.3,0.0,6.0,1.7998427508589984e-65,6,1,0.1429,rodent,Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vivax,4.681590977512128e-63,True,SICA_C,SICA C-terminal inner membrane domain ,,
PF18515,76,14,6,0.3,0.613,5.387,1.854444431157552e-05,5,2,0.2857,"avian; primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium gaboni; Plasmodium gonderi; Plasmodium inui; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,0.0020672640063522994,True,Rh5,Rh5 coiled-coil domain,,
PF11675,54,13,7,0.35,1.703,5.297,0.0007504904020920683,5,2,0.2857,"avian; primate (simian, zoonotic)",Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium vinckei petteri; Plasmodium yoelii,0.07638687092597965,False,DUF3271,Protein of unknown function (DUF3271),,
PF05795,3838,15,5,0.25,0.0,5.0,0.0,4,3,0.4286,Laverania (ape); Laverania (human); avian,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium fragile; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,0.0,True,Plasmodium_Vir,Plasmodium vivax Vir protein,CL0411,Vir
PF05756,19,7,13,0.65,8.064,4.936,0.020239889159226445,5,2,0.2857,"primate (simian, zoonotic); rodent",Plasmodium brasilianum; Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium malariae; Plasmodium ovale wallikeri; Plasmodium reichenowi,1.0,False,S-antigen,S-antigen protein,,
PF02526,10,3,17,0.85,12.346,4.654,0.02143016667992759,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,1.0,False,GBP_repeat,Glycophorin-binding protein,,
PF17986,44,13,7,0.35,2.6,4.4,0.009622005965609677,5,2,0.2857,avian; rodent,Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium vivax,0.9010046386196902,False,EKAL,EMP3-KAHRP-like N-terminal domain,,
PF09216,86,16,4,0.2,0.434,3.566,0.0007470273667624342,6,1,0.1429,rodent,Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vivax,0.07638687092597965,False,Pfg27,Pfg27,,
PF02818,8,3,17,0.85,13.51,3.49,0.0663630517502967,2,5,0.7143,"Laverania (human); avian; primate (human); primate (simian, zoonotic); rodent",Plasmodium coatneyi; Plasmodium fragile; Plasmodium reichenowi,1.0,False,PPAK,PPAK motif,,
PF07133,80,16,4,0.2,0.539,3.461,0.0017014006491840434,7,0,0.0,,Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vivax,0.16595745498916023,False,Merozoite_SPAM,Merozoite surface protein (SPAM),,
PF05424,317,17,3,0.15,0.0,3.0,2.5822762482868443e-15,6,1,0.1429,avian,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium gaboni; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,3.555946292493825e-13,True,Duffy_binding,Duffy binding domain,CL0195,DBL
PF00078,6,2,18,0.9,15.069,2.931,0.09479355175334188,2,5,0.7143,"Laverania (ape); Laverania (human); primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium gallinaceum; Plasmodium yoelii,1.0,False,RVT_1,Reverse transcriptase (RNA-dependent DNA polymerase),CL0027,RdRP
PF12377,12,6,14,0.7,11.159,2.841,0.13995546156100228,3,4,0.5714,Laverania (ape); Laverania (human); avian; rodent,Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium vivax,1.0,False,DuffyBP_N,Duffy binding protein N terminal ,,
PF05403,7,3,17,0.85,14.223,2.777,0.12458956299880172,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,1.0,False,Plasmodium_HRP,Plasmodium histidine-rich protein (HRPII/III),,
PF16830,16,8,12,0.6,9.254,2.746,0.1531169589868167,4,3,0.4286,"Laverania (ape); Laverania (human); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium cynomolgi; Plasmodium inui; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,NBD94,Nucleotide-Binding Domain 94 of RH,,
PF07719,23,11,9,0.45,6.661,2.339,0.18668617204322785,6,1,0.1429,"primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium reichenowi; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,TPR_2,Tetratricopeptide repeat,CL0020,TPR
PF04886,11,6,14,0.7,11.696,2.304,0.20258016556383227,3,4,0.5714,Laverania (ape); Laverania (human); avian; rodent,Plasmodium cynomolgi; Plasmodium fragile; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium vivax,1.0,False,PT,PT disordered repeat,,
PF05677,5,2,18,0.9,15.779,2.221,0.17207942158201442,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium yoelii,1.0,False,DUF818,Chlamydia CHLPS protein (DUF818),CL0028,AB_hydrolase
PF13857,17,9,11,0.55,8.859,2.141,0.22739878096052185,6,1,0.1429,"primate (simian, zoonotic)",Plasmodium berghei; Plasmodium brasilianum; Plasmodium falciparum; Plasmodium gaboni; Plasmodium malariae; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vivax; Plasmodium yoelii,1.0,False,Ank_5,Ankyrin repeats (many copies),CL0465,Ank
PF05671,6,3,17,0.85,14.869,2.131,0.20080587326625132,2,5,0.7143,"Laverania (ape); Laverania (human); avian; primate (simian, zoonotic); rodent",Plasmodium cynomolgi; Plasmodium gonderi; Plasmodium ovale,1.0,False,GETHR,GETHR pentapeptide repeat (5 copies),,
PF12361,12,7,13,0.65,11.156,1.844,0.27053149579999813,3,4,0.5714,Laverania (ape); Laverania (human); avian; rodent,Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium fragile; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium vivax,1.0,False,DBP,Duffy-antigen binding protein ,,
PF01469,16,9,11,0.55,9.257,1.743,0.28469770248584797,4,3,0.4286,Laverania (ape); Laverania (human); avian,Plasmodium brasilianum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium vivax; Plasmodium yoelii,1.0,False,Pentapeptide_2,Pentapeptide repeats (8 copies),CL0505,Pentapeptide
PF27657,3,1,19,0.95,17.386,1.614,0.2410035319956159,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium yoelii,1.0,False,RRT15,Regulator of rDNA transcription protein 15,,
PF07391,4,2,18,0.9,16.455,1.545,0.2828082782676967,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,1.0,False,NPR,NPR nonapeptide repeat (2 copies),,
PF04671,4,2,18,0.9,16.493,1.507,0.2901640283780852,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,1.0,False,Ag332,Erythrocyte membrane-associated giant protein antigen 332 ,,
PF01744,8,5,15,0.75,13.501,1.499,0.3217748341502276,3,4,0.5714,Laverania (ape); Laverania (human); avian; rodent,Plasmodium inui; Plasmodium knowlesi; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium vivax,1.0,False,GLTT,GLTT repeat (6 copies),,
PF09689,4,2,18,0.9,16.526,1.474,0.29796979949342517,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium yoelii,1.0,False,PY_rept_46,Plasmodium yoelii repeat (PY_rept_46),,
PF23227,11,7,13,0.65,11.76,1.24,0.37207021128881534,2,5,0.7143,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium inui; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,HEAT_MROH2B_C,"MROH2B-like, HEAT repeats",CL0020,TPR
PF10511,6,4,16,0.8,14.907,1.093,0.3944070793340824,3,4,0.5714,"avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi; Plasmodium vivax,1.0,False,Cementoin,Trappin protein transglutaminase binding domain,,
PF12420,1307,19,1,0.05,0.0,1.0,1.5528813906207951e-15,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vivax; Plasmodium yoelii,2.272059584652051e-13,True,DUF3671,"Fam-L, Fam-M like protein",,
PF25168,7,5,15,0.75,14.214,0.786,0.4571536431760831,3,4,0.5714,"primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium reichenowi; Plasmodium relictum,1.0,False,Beta-prop_WDR36-Utp21_2nd,WDR36/Utp21 second beta-propeller domain,CL0186,Beta_propeller
PF00144,7,5,15,0.75,14.237,0.763,0.4619374767437367,4,3,0.4286,Laverania (ape); Laverania (human); avian,Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,1.0,False,Beta-lactamase,Beta-lactamase,CL0013,Beta-lactamase
PF16242,7,5,15,0.75,14.237,0.763,0.462082718707154,4,3,0.4286,"primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium reichenowi; Plasmodium yoelii,1.0,False,Pyrid_ox_like,Pyridoxamine 5'-phosphate oxidase like,CL0336,FMN-binding
PF17683,7,5,15,0.75,14.238,0.762,0.46218396969114994,3,4,0.5714,"avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi; Plasmodium yoelii,1.0,False,TFIIF_beta_N,"TFIIF, beta subunit N-terminus",CL0662,Triple_barrel
PF06513,3,2,18,0.9,17.254,0.746,0.46776370815731527,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,1.0,False,DUF1103,Repeat of unknown function (DUF1103),,
PF13833,16,10,10,0.5,9.265,0.735,0.4558236801355182,4,3,0.4286,Laverania (ape); Laverania (human); avian,Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium fragile; Plasmodium gonderi; Plasmodium knowlesi; Plasmodium ovale wallikeri; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,1.0,False,EF-hand_8,EF-hand domain pair,CL0220,EF_hand
PF04095,3,2,18,0.9,17.29,0.71,0.47739072591423204,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,1.0,False,NAPRTase,Nicotinate phosphoribosyltransferase (NAPRTase) family,CL0036,TIM_barrel
PF06293,3,2,18,0.9,17.29,0.71,0.47739072591423204,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,1.0,False,Kdo,Lipopolysaccharide kinase (Kdo/WaaP) family,CL0016,PKinase
PF26973,3,2,18,0.9,17.29,0.71,0.47739072591423204,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium reichenowi,1.0,False,Thioredoxin-like_DJC16_2nd,"DJC16, Thioredoxin-like domain 2",CL0176,Chemosens_recp
PF24621,3,2,18,0.9,17.313,0.687,0.48394727215871414,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium yoelii,1.0,False,DHQS_C,3-dehydroquinate synthase C-terminal,CL0886,ADH_DHQS_C-like
PF04127,3,2,18,0.9,17.316,0.684,0.4848694706339593,2,5,0.7143,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian, zoonotic)",Plasmodium fragile; Plasmodium yoelii,1.0,False,DFP,DNA/pantothenate metabolism flavoprotein C-terminal domain,CL0063,NADP_Rossmann
PF13923,46,17,3,0.15,2.378,0.622,0.4314910874411064,7,0,0.0,,Plasmodium berghei; Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vivax,1.0,False,zf-C3HC4_2,"Zinc finger, C3HC4 type (RING finger)",CL0229,RING
PF05405,4,3,17,0.85,16.446,0.554,0.5129708072291528,3,4,0.5714,"Laverania (ape); avian; primate (human); primate (simian, zoonotic)",Plasmodium chabaudi; Plasmodium falciparum; Plasmodium gonderi,1.0,False,Mt_ATP-synt_B,Mitochondrial ATP synthase B chain precursor (ATP-synt_B),CL0255,ATP_synthase
PF13691,4,3,17,0.85,16.446,0.554,0.5129024244970852,3,4,0.5714,"primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium reichenowi,1.0,False,Lactamase_B_4,tRNase Z endonuclease,CL0381,Metallo-HOrase
PF00985,4,3,17,0.85,16.448,0.552,0.5132656238292882,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,1.0,False,MSA_2,Merozoite Surface Antigen 2 (MSA-2) family,,
PF02602,4,3,17,0.85,16.448,0.552,0.5132656238292882,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,1.0,False,HEM4,Uroporphyrinogen-III synthase HemD,,
PF07228,4,3,17,0.85,16.448,0.552,0.5132656238292882,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,1.0,False,SpoIIE,Stage II sporulation protein E (SpoIIE),CL0238,PP2C
PF07244,4,3,17,0.85,16.448,0.552,0.5132656238292882,2,5,0.7143,"avian; primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,1.0,False,POTRA,Surface antigen variable number repeat,CL0191,POTRA
PF27846,4,3,17,0.85,16.45,0.55,0.5140205221797128,3,4,0.5714,"Laverania (ape); avian; primate (human); primate (simian, zoonotic)",Plasmodium brasilianum; Plasmodium falciparum; Plasmodium yoelii,1.0,False,tSAM_targ_Cxxx_rpt,Modification target Cys-rich repeat,,
PF12135,4,3,17,0.85,16.466,0.534,0.517809756878547,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,Plasmo_rep,Plasmodium repeat family,,
PF18027,4,3,17,0.85,16.466,0.534,0.5177315327722333,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium yoelii,1.0,False,Pepdidase_M14_N,Cytosolic carboxypeptidase N-terminal domain,,
PF07646,5,4,16,0.8,15.651,0.349,0.5530873205282153,3,4,0.5714,"avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,1.0,False,Kelch_2,Kelch motif,CL0186,Beta_propeller
PF02637,5,4,16,0.8,15.659,0.341,0.5549121953135396,4,3,0.4286,"avian; primate (simian, zoonotic); rodent",Plasmodium brasilianum; Plasmodium falciparum; Plasmodium malariae; Plasmodium reichenowi,1.0,False,GatB_Yqey,GatB domain,CL0279,GatB_YqeY
PF00433,5,4,16,0.8,15.665,0.335,0.5560451823737205,2,5,0.7143,"Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium gaboni; Plasmodium yoelii,1.0,False,Pkinase_C,Protein kinase C terminal domain,,
PF03130,5,4,16,0.8,15.666,0.334,0.55627609215851,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,HEAT_PBS,PBS lyase HEAT-like repeat,CL0020,TPR
PF17215,5,4,16,0.8,15.666,0.334,0.55627609215851,1,6,0.8571,"Laverania (ape); Laverania (human); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,Rrp44_S1,S1 domain,CL0021,OB
PF18131,5,4,16,0.8,15.666,0.334,0.5564273794313599,3,4,0.5714,"avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium ovale; Plasmodium ovale wallikeri,1.0,False,KN17_SH3,KN17 SH3-like domain,CL0010,SH3
PF03828,5,4,16,0.8,15.67,0.33,0.5574154434906288,3,4,0.5714,"avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi,1.0,False,PAP_assoc,Cid1 family poly A polymerase,,
PF16690,5,4,16,0.8,15.676,0.324,0.5584385621977855,2,5,0.7143,"Laverania (ape); Laverania (human); avian; primate (simian); primate (simian, zoonotic)",Plasmodium chabaudi; Plasmodium ovale; Plasmodium vinckei petteri; Plasmodium yoelii,1.0,False,MMACHC,Methylmalonic aciduria and homocystinuria type C family,CL0529,FMN-dep-NRtase
PF20428,9,7,13,0.65,12.893,0.107,0.582153413651416,5,2,0.2857,avian; primate (human),Plasmodium coatneyi; Plasmodium falciparum; Plasmodium gaboni; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium yoelii,1.0,False,Sey1_3HB,Sey1 three-helix bundle domain,,
PF01554,6,5,15,0.75,14.897,0.103,0.5968936301361482,3,4,0.5714,"primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium reichenowi; Plasmodium relictum,1.0,False,MatE,MatE,CL0222,MviN_MATE
PF02928,6,5,15,0.75,14.897,0.103,0.5968936301361482,3,4,0.5714,"primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium reichenowi; Plasmodium relictum,1.0,False,zf-C5HC2,C5HC2 zinc finger,,
PF12409,6,5,15,0.75,14.897,0.103,0.5968936301361482,3,4,0.5714,"primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium reichenowi; Plasmodium relictum,1.0,False,P5-ATPase,P5-type ATPase cation transporter,,
PF13347,6,5,15,0.75,14.897,0.103,0.5968936301361482,3,4,0.5714,"primate (human); primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium reichenowi; Plasmodium relictum,1.0,False,MFS_2,MFS/sugar transport protein,CL0015,MFS
