domain_accession,n_proteins,n_instances,n_species,n_clades,n_reviewed_carriers,species_list,n_unreviewed_carriers,reviewed_fraction,pct_of_proteome,instances_per_carrier,domain_name,description,clan_accession,clan_id
PF00081,5,5,3,2,5,Plasmodium falciparum; Plasmodium malariae; Plasmodium vivax,0,1.0,0.647,1.0,Sod_Fe_N,"Iron/manganese superoxide dismutases, alpha-hairpin domain",,
PF00032,5,5,5,4,5,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium vivax,0,1.0,0.647,1.0,Cytochrom_B_C,Cytochrome b(C-terminal)/b6/petD,,
PF00083,5,5,4,4,5,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.647,1.0,Sugar_tr,Sugar (and other) transporter,CL0015,MFS
PF00033,5,5,5,4,5,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium vivax,0,1.0,0.647,1.0,Cytochrome_B,Cytochrome b/b6/petB,CL0328,2heme_cytochrom
PF00838,5,5,5,3,5,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium yoelii,0,1.0,0.647,1.0,TCTP,Translationally controlled tumour protein,CL0080,Beta-tent
PF02777,5,5,3,2,5,Plasmodium falciparum; Plasmodium malariae; Plasmodium vivax,0,1.0,0.647,1.0,Sod_Fe_C,"Iron/manganese superoxide dismutases, C-terminal domain",,
PF00578,4,4,2,2,4,Plasmodium falciparum; Plasmodium knowlesi,0,1.0,0.517,1.0,AhpC-TSA,AhpC/TSA family,CL0172,Thioredoxin
PF00679,4,4,4,4,4,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.517,1.0,EFG_C,Elongation factor G C-terminus,CL0437,EF-G_C
PF00274,4,4,2,2,4,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.517,1.0,Glycolytic,Fructose-bisphosphate aldolase class-I,CL0036,TIM_barrel
PF00303,4,4,4,3,4,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum; Plasmodium vivax,0,1.0,0.517,1.0,Thymidylat_synt,Thymidylate synthase,,
PF14308,4,4,1,1,4,Plasmodium falciparum,0,1.0,0.517,1.0,DnaJ-X,X-domain of DnaJ-containing,,
PF06421,4,4,4,4,4,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.517,1.0,LepA_C,GTP-binding protein LepA C-terminus,,
PF06247,4,4,4,4,4,Plasmodium berghei; Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium reichenowi,0,1.0,0.517,1.0,Plasmod_Pvs28,Pvs28 EGF domain,CL0001,EGF
PF01015,4,4,4,4,4,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.517,1.0,Ribosomal_S3Ae,Ribosomal S3Ae family,,
PF12377,4,4,2,2,4,Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.517,1.0,DuffyBP_N,Duffy binding protein N terminal ,,
PF07992,4,4,1,1,4,Plasmodium falciparum,0,1.0,0.517,1.0,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,CL0063,NADP_Rossmann
PF01139,4,4,4,3,4,Plasmodium berghei; Plasmodium falciparum; Plasmodium knowlesi; Plasmodium yoelii,0,1.0,0.517,1.0,RtcB,tRNA-splicing ligase RtcB,,
PF07885,4,4,2,2,4,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.517,1.0,Ion_trans_2,Ion channel,CL0030,Ion_channel
PF10417,4,4,2,2,4,Plasmodium falciparum; Plasmodium knowlesi,0,1.0,0.517,1.0,1-cysPrx_C,C-terminal domain of 1-Cys peroxiredoxin,,
PF00202,4,4,3,2,4,Plasmodium chabaudi; Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.517,1.0,Aminotran_3,Aminotransferase class-III,CL0061,PLP_aminotran
PF14543,4,4,2,2,4,Plasmodium falciparum; Plasmodium vivax,0,1.0,0.517,1.0,TAXi_N,Xylanase inhibitor N-terminal,CL0129,Peptidase_AA
PF00027,4,4,3,3,4,Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0,1.0,0.517,1.0,cNMP_binding,Cyclic nucleotide-binding domain,CL0029,Cupin
PF01521,4,4,3,3,4,Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0,1.0,0.517,1.0,Fe-S_biosyn,Iron-sulphur cluster biosynthesis,CL0980,HesB-like
PF00266,4,4,3,3,4,Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0,1.0,0.517,1.0,Aminotran_5,Aminotransferase class-V,CL0061,PLP_aminotran
PF18515,4,4,2,2,4,Plasmodium falciparum; Plasmodium vivax,0,1.0,0.517,1.0,Rh5,Rh5 coiled-coil domain,,
PF04055,4,4,4,4,4,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.517,1.0,Radical_SAM,Radical SAM superfamily,CL0036,TIM_barrel
PF00085,4,4,2,2,4,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.517,1.0,Thioredoxin,Thioredoxin,CL0172,Thioredoxin
PF02852,4,4,1,1,4,Plasmodium falciparum,0,1.0,0.517,1.0,Pyr_redox_dim,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",CL0608,Reductase_C
PF00063,4,4,2,2,4,Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.517,1.0,Myosin_head,Myosin head (motor domain),CL0023,P-loop_NTPase
PF16881,4,4,4,4,4,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.517,1.0,LIAS_N,N-terminal domain of lipoyl synthase of Radical_SAM family,,
PF00230,4,4,2,2,4,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.517,1.0,MIP,Major intrinsic protein,CL0716,Aquaporin-like
PF00233,4,4,2,2,4,Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.517,1.0,PDEase_I,3'5'-cyclic nucleotide phosphodiesterase,CL0237,HD_PDEase
PF00241,4,4,1,1,4,Plasmodium falciparum,0,1.0,0.517,1.0,Cofilin_ADF,Cofilin/tropomyosin-type actin-binding protein,CL0092,ADF
PF03805,4,4,1,1,4,Plasmodium falciparum,0,1.0,0.517,1.0,CLAG,Cytoadherence-linked asexual protein,,
PF00705,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,PCNA_N,"Proliferating cell nuclear antigen, N-terminal domain",CL0060,DNA_clamp
PF02747,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,PCNA_C,"Proliferating cell nuclear antigen, C-terminal domain",CL0060,DNA_clamp
PF02657,3,3,3,3,3,Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0,1.0,0.388,1.0,SufE,Fe-S metabolism associated domain,CL0233,SufE_NifU
PF02798,3,3,3,3,3,Plasmodium falciparum; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.388,1.0,GST_N,"Glutathione S-transferase, N-terminal domain",CL0172,Thioredoxin
PF02535,3,3,2,2,3,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.388,1.0,Zip,ZIP Zinc transporter,CL0184,DMT
PF01918,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,Alba,Alba,CL0441,AlbA
PF01458,3,3,2,2,3,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.388,1.0,SUFBD_core,"SUF system FeS cluster assembly, SufBD core domain",,
PF03092,3,3,2,2,3,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.388,1.0,BT1,BT1 family,CL0015,MFS
PF03853,3,3,3,3,3,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.388,1.0,YjeF_N,YjeF-related protein N-terminus,CL0063,NADP_Rossmann
PF00889,3,3,3,3,3,Plasmodium chabaudi; Plasmodium falciparum; Plasmodium vivax,0,1.0,0.388,1.0,EF_TS,Elongation factor TS,,
PF04997,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,RNA_pol_Rpb1_1,"RNA polymerase Rpb1, domain 1",,
PF04998,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,RNA_pol_Rpb1_5,"RNA polymerase Rpb1, domain 5",,
PF00664,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,ABC_membrane,ABC transporter transmembrane region,CL0241,ABC_membrane
PF05221,3,3,3,2,3,Plasmodium chabaudi; Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.388,1.0,AdoHcyase,S-adenosyl-L-homocysteine hydrolase,CL0063,NADP_Rossmann
PF01048,3,3,2,2,3,Plasmodium falciparum; Plasmodium vivax,0,1.0,0.388,1.0,PNP_UDP_1,Phosphorylase superfamily,CL0408,PUP
PF05301,3,3,3,3,3,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.388,1.0,Acetyltransf_16,"GNAT acetyltransferase, Mec-17",CL0257,Acetyltrans
PF05403,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,Plasmodium_HRP,Plasmodium histidine-rich protein (HRPII/III),,
PF00670,3,3,3,2,3,Plasmodium chabaudi; Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.388,1.0,AdoHcyase_NAD,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",CL0063,NADP_Rossmann
PF02866,3,3,2,2,3,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.388,1.0,Ldh_1_C,"lactate/malate dehydrogenase, alpha/beta C-terminal domain",CL0341,LDH_C
PF17986,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,EKAL,EMP3-KAHRP-like N-terminal domain,,
PF00122,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,E1-E2_ATPase,P-type ATPase actuator domain,,
PF14497,3,3,3,3,3,Plasmodium falciparum; Plasmodium vivax; Plasmodium yoelii,0,1.0,0.388,1.0,GST_C_3,"Glutathione S-transferase, C-terminal domain",CL0497,GST_C
PF16212,3,3,2,2,3,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.388,1.0,PhoLip_ATPase_C,Phospholipid-translocating P-type ATPase C-terminal,CL0137,HAD
PF00235,3,3,2,2,3,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.388,1.0,Profilin,Profilin,CL0431,PF
PF00226,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,DnaJ,DnaJ domain,CL0392,Chaperone-J
PF00211,3,3,2,2,3,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.388,1.0,Guanylate_cyc,Adenylate and Guanylate cyclase catalytic domain,CL0276,Nucleot_cyclase
PF18513,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,Pro_sub2,Prodomain subtilisin 2,CL0570,PPP-I
PF00115,3,3,3,2,3,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum,0,1.0,0.388,1.0,COX1,Cytochrome C and Quinol oxidase polypeptide I,CL0714,COX1-like
PF00406,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,ADK,Adenylate kinase,CL0023,P-loop_NTPase
PF22808,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,RhopH3_C,RhopH3 C-terminal domain,,
PF00092,3,3,3,2,3,Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.388,1.0,VWA,von Willebrand factor type A domain,CL0128,vWA-like
PF00076,3,3,2,2,3,Plasmodium falciparum; Plasmodium vivax,0,1.0,0.388,1.0,RRM_1,RNA recognition motif,CL0221,RRM
PF00056,3,3,2,2,3,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.388,1.0,Ldh_1_N,"lactate/malate dehydrogenase, NAD binding domain",CL0063,NADP_Rossmann
PF00025,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,Arf,ADP-ribosylation factor family,CL0023,P-loop_NTPase
PF25133,3,3,3,3,3,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.388,1.0,TYW2_N_2,TYW2 N-terminal domain,,
PF13656,3,3,3,2,3,Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum,0,1.0,0.388,1.0,RNA_pol_L_2,RNA polymerase Rpb3/Rpb11 dimerisation domain,CL0509,RBP11-like
PF02526,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,GBP_repeat,Glycophorin-binding protein,,
PF02475,3,3,3,3,3,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.388,1.0,TRM5-TYW2_MTfase,TRM5/TYW2 methyltransferase domain,CL0063,NADP_Rossmann
PF12361,3,3,2,2,3,Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.388,1.0,DBP,Duffy-antigen binding protein ,,
PF10250,3,3,3,3,3,Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0,1.0,0.388,1.0,O-FucT,GDP-fucose protein O-fucosyltransferase,CL0113,GT-B
PF13202,3,3,3,2,3,Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.388,1.0,EF-hand_5,EF hand,CL0220,EF_hand
PF00623,3,3,1,1,3,Plasmodium falciparum,0,1.0,0.388,1.0,RNA_pol_Rpb1_2,"RNA polymerase Rpb1, domain 2",,
PF22099,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,MRS2-like,Magnesium transporter MRS2-like,CL0788,CorA-like
PF03803,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,Scramblase,Scramblase ,CL0395,Tubby_C
PF03493,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,BK_channel_a,Calcium-activated BK potassium channel alpha subunit,CL0582,TrkA_C
PF03477,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,ATP-cone,ATP cone domain,,
PF03372,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,Exo_endo_phos,Endonuclease/Exonuclease/phosphatase family,CL0530,DNase_I-like
PF03144,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,GTP_EFTU_D2,Elongation factor Tu domain 2,CL0866,ALR_C-like
PF22516,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,PreP_C,PreP C-terminal domain,CL0094,Peptidase_ME
PF03028,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,Dynein_heavy,Dynein heavy chain region D6 P-loop domain ,CL0023,P-loop_NTPase
PF02991,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,ATG8,Autophagy protein Atg8 ubiquitin like,CL0072,Ubiquitin
PF02874,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,ATP-synt_ab_N,"ATP synthase alpha/beta family, beta-barrel domain",CL0866,ALR_C-like
PF02867,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,Ribonuc_red_lgC,"Ribonucleotide reductase, barrel domain",CL0339,PFL-like
PF06732,2,2,2,2,2,Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.259,1.0,Pescadillo_N,Pescadillo N-terminus,,
PF22614,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,Slo-like_RCK,Calcium-activated potassium channel slowpoke-like RCK domain,CL0063,NADP_Rossmann
PF12628,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,Inhibitor_I71,"Falstatin, cysteine peptidase inhibitor",CL0159,E-set
PF02799,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,NMT_C,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain",CL0257,Acetyltrans
PF08367,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,M16C_assoc,Peptidase M16C associated,CL0094,Peptidase_ME
PF22919,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,ATP-synt_VA_C,C-terminal domain of V and A type ATP synthase,,
PF02739,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,5_3_exonuc_N,"5'-3' exonuclease, N-terminal resolvase-like domain",CL0280,PIN
PF02670,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,DXP_reductoisom,1-deoxy-D-xylulose 5-phosphate reductoisomerase,CL0063,NADP_Rossmann
PF08393,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,DHC_N2,"Dynein heavy chain, N-terminal region 2",,
PF02666,2,2,2,2,2,Plasmodium falciparum; Plasmodium knowlesi,0,1.0,0.259,1.0,PS_Dcarbxylase,Phosphatidylserine decarboxylase,CL0105,Hybrid
PF08436,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,DXP_redisom_C,1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain,CL0139,GADPH_aa-bio_dh
PF23122,2,2,2,2,2,Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.259,1.0,C2_ITFG1,"ITFG1, C2 domain",CL0154,C2
PF02542,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,YgbB,YgbB family,,
PF21972,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,Arc1p_N_like,Nuclear-export cofactor Arc1p ,CL0497,GST_C
PF21948,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,LplA-B_cat,Lipoyl protein ligase A/B catalytic domain,CL0040,tRNA_synt_II
PF13242,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,Hydrolase_like,HAD-hyrolase-like,CL0137,HAD
PF12777,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,MT,Microtubule-binding stalk of dynein motor,,
PF06589,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,CRA,Circumsporozoite-related antigen (CRA),,
PF06470,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,SMC_hinge,SMC proteins Flexible Hinge Domain,,
PF13246,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,Cation_ATPase,"P-type ATPase, cytoplasmic domain N",CL0137,HAD
PF13288,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,DXPR_C,DXP reductoisomerase C-terminal domain,CL0063,NADP_Rossmann
PF13344,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,Hydrolase_6,Haloacid dehalogenase-like hydrolase,CL0137,HAD
PF13476,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,AAA_23,AAA domain,CL0023,P-loop_NTPase
PF13517,2,2,2,2,2,Plasmodium falciparum; Plasmodium yoelii,0,1.0,0.259,1.0,FG-GAP_3,FG-GAP-like repeat,CL0186,Beta_propeller
PF13181,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,TPR_8,Tetratricopeptide repeat,CL0020,TPR
PF14492,2,2,2,2,2,Plasmodium knowlesi; Plasmodium vivax,0,1.0,0.259,1.0,EFG_III,"Elongation Factor G, domain III",CL0437,EF-G_C
PF12780,2,2,1,1,2,Plasmodium falciparum,0,1.0,0.259,1.0,AAA_8,P-loop containing dynein motor region D4,CL0023,P-loop_NTPase
PF07541,2,2,2,2,2,Plasmodium berghei; Plasmodium falciparum,0,1.0,0.259,1.0,EIF_2_alpha,Eukaryotic translation initiation factor 2 alpha subunit,,
