domain_accession,n_species,species_fraction,category,domain_name,description,clan_accession,clan_id
PF07462,2,0.125,cloud,MSP1_C,Merozoite surface protein 1 (MSP1) C-terminus,,
PF12361,2,0.125,cloud,DBP,Duffy-antigen binding protein ,,
PF02739,2,0.125,cloud,5_3_exonuc_N,"5'-3' exonuclease, N-terminal resolvase-like domain",CL0280,PIN
PF01988,2,0.125,cloud,VIT1,VIT family,,
PF12377,2,0.125,cloud,DuffyBP_N,Duffy binding protein N terminal ,,
PF12628,2,0.125,cloud,Inhibitor_I71,"Falstatin, cysteine peptidase inhibitor",CL0159,E-set
PF01680,2,0.125,cloud,SOR_SNZ,SOR/SNZ family,CL0036,TIM_barrel
PF03372,2,0.125,cloud,Exo_endo_phos,Endonuclease/Exonuclease/phosphatase family,CL0530,DNase_I-like
PF12946,2,0.125,cloud,EGF_MSP1_1,MSP1 EGF domain 1,CL0001,EGF
PF01588,2,0.125,cloud,tRNA_bind,Putative tRNA binding domain,CL0021,OB
PF01566,2,0.125,cloud,Nramp,Natural resistance-associated macrophage protein-like,CL0062,APC
PF03493,2,0.125,cloud,BK_channel_a,Calcium-activated BK potassium channel alpha subunit,CL0582,TrkA_C
PF03803,2,0.125,cloud,Scramblase,Scramblase ,CL0395,Tubby_C
PF02666,2,0.125,cloud,PS_Dcarbxylase,Phosphatidylserine decarboxylase,CL0105,Hybrid
PF02866,2,0.125,cloud,Ldh_1_C,"lactate/malate dehydrogenase, alpha/beta C-terminal domain",CL0341,LDH_C
PF21550,2,0.125,cloud,MTIP_N,"Myosin A tail domain interacting protein, N-terminal",CL0220,EF_hand
PF18515,2,0.125,cloud,Rh5,Rh5 coiled-coil domain,,
PF00575,2,0.125,cloud,S1,S1 RNA binding domain,CL0021,OB
PF17830,2,0.125,cloud,STI1-HOP_DP,"STI1/HOP, DP domain",,
PF00491,2,0.125,cloud,Arginase,Arginase family,CL0302,Arginase
PF23122,2,0.125,cloud,C2_ITFG1,"ITFG1, C2 domain",CL0154,C2
PF22614,2,0.125,cloud,Slo-like_RCK,Calcium-activated potassium channel slowpoke-like RCK domain,CL0063,NADP_Rossmann
PF00211,2,0.125,cloud,Guanylate_cyc,Adenylate and Guanylate cyclase catalytic domain,CL0276,Nucleot_cyclase
PF00230,2,0.125,cloud,MIP,Major intrinsic protein,CL0716,Aquaporin-like
PF00091,2,0.125,cloud,Tubulin,"Tubulin/FtsZ family, GTPase domain",CL0063,NADP_Rossmann
PF20428,2,0.125,cloud,Sey1_3HB,Sey1 three-helix bundle domain,,
PF00233,2,0.125,cloud,PDEase_I,3'5'-cyclic nucleotide phosphodiesterase,CL0237,HD_PDEase
PF00274,2,0.125,cloud,Glycolytic,Fructose-bisphosphate aldolase class-I,CL0036,TIM_barrel
PF00235,2,0.125,cloud,Profilin,Profilin,CL0431,PF
PF22099,2,0.125,cloud,MRS2-like,Magnesium transporter MRS2-like,CL0788,CorA-like
PF21972,2,0.125,cloud,Arc1p_N_like,Nuclear-export cofactor Arc1p ,CL0497,GST_C
PF00578,2,0.125,cloud,AhpC-TSA,AhpC/TSA family,CL0172,Thioredoxin
PF00149,2,0.125,cloud,Metallophos,Calcineurin-like phosphoesterase,CL0163,Calcineurin
PF00085,2,0.125,cloud,Thioredoxin,Thioredoxin,CL0172,Thioredoxin
PF00056,2,0.125,cloud,Ldh_1_N,"lactate/malate dehydrogenase, NAD binding domain",CL0063,NADP_Rossmann
PF16212,2,0.125,cloud,PhoLip_ATPase_C,Phospholipid-translocating P-type ATPase C-terminal,CL0137,HAD
PF16589,2,0.125,cloud,BRCT_2,BRCT domain,CL0459,BRCT-like
PF00063,2,0.125,cloud,Myosin_head,Myosin head (motor domain),CL0023,P-loop_NTPase
PF00076,2,0.125,cloud,RRM_1,RNA recognition motif,CL0221,RRM
PF00656,2,0.125,cloud,Peptidase_C14,Caspase domain,CL0093,Peptidase_CD
PF08393,1,0.0625,cloud,DHC_N2,"Dynein heavy chain, N-terminal region 2",,
PF22594,1,0.0625,cloud,GTP-eEF1A_C,GTP-eEF1A C-terminal domain-like,CL0740,GCV_T_C
PF07728,1,0.0625,cloud,AAA_5,AAA domain (dynein-related subfamily),CL0023,P-loop_NTPase
PF22606,1,0.0625,cloud,Cdc6-ORC-like_ATPase_lid,"Cdc6/ORC-like, ATPase lid domain",CL0671,AAA_lid
PF22597,1,0.0625,cloud,DYN_lid,"Dynein heavy chain, ATPase lid domain",CL0671,AAA_lid
PF07992,1,0.0625,cloud,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,CL0063,NADP_Rossmann
PF27589,1,0.0625,cloud,PF3D7_0210200_C,PF3D7_0210200 C-terminal domain,,
PF07994,1,0.0625,cloud,NAD_binding_5,Myo-inositol-1-phosphate synthase,CL0063,NADP_Rossmann
PF27588,1,0.0625,cloud,PF3D7_0210200_6th,PF3D7_0210200 sixth domain,,
PF22516,1,0.0625,cloud,PreP_C,PreP C-terminal domain,CL0094,Peptidase_ME
PF08385,1,0.0625,cloud,DHC_N1,"Dynein heavy chain, N-terminal region 1",,
PF08436,1,0.0625,cloud,DXP_redisom_C,1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain,CL0139,GADPH_aa-bio_dh
PF05403,1,0.0625,cloud,Plasmodium_HRP,Plasmodium histidine-rich protein (HRPII/III),,
PF27586,1,0.0625,cloud,PF3D7_0210200_N,PF3D7_0210200 N-terminal domain,,
PF08367,1,0.0625,cloud,M16C_assoc,Peptidase M16C associated,CL0094,Peptidase_ME
PF27587,1,0.0625,cloud,PF3D7_0210200_HH,PF3D7_0210200 helix hairpin domain,,
PF05193,1,0.0625,cloud,Peptidase_M16_C,Peptidase M16 inactive domain,CL0094,Peptidase_ME
PF05191,1,0.0625,cloud,ADK_lid,"Adenylate kinase, active site lid",CL0167,Zn_Beta_Ribbon
PF07719,1,0.0625,cloud,TPR_2,Tetratricopeptide repeat,CL0020,TPR
PF07647,1,0.0625,cloud,SAM_2,SAM domain (Sterile alpha motif),CL0003,SAM
PF22808,1,0.0625,cloud,RhopH3_C,RhopH3 C-terminal domain,,
PF27571,1,0.0625,cloud,PF3D7_0210200_7th,PF3D7_0210200 7th domain,,
PF06026,1,0.0625,cloud,Rib_5-P_isom_A,Ribose 5-phosphate isomerase A (phosphoriboisomerase A),CL0063,NADP_Rossmann
PF27570,1,0.0625,cloud,TOF-1-like_helical,"TOF1-like, helical domain",,
PF24681,1,0.0625,cloud,Kelch_KLHDC2_KLHL20_DRC7,KLHDC2/KLHL20/DRC7 Kelch-repeats domain,CL0186,Beta_propeller
PF24656,1,0.0625,cloud,CEPT76_peptidase,CEP76 peptidase-like domain,CL0125,Peptidase_CA
PF24652,1,0.0625,cloud,CEP76_C,Centrosomal protein of 76 kDa C-terminal domain,CL0659,CAP
PF06437,1,0.0625,cloud,ISN1,IMP-specific 5'-nucleotidase,CL0137,HAD
PF24161,1,0.0625,cloud,CCDC39,Coiled-coil domain-containing protein 39,,
PF06470,1,0.0625,cloud,SMC_hinge,SMC proteins Flexible Hinge Domain,,
PF06589,1,0.0625,cloud,CRA,Circumsporozoite-related antigen (CRA),,
PF06703,1,0.0625,cloud,SPC25,Microsomal signal peptidase 25 kDa subunit (SPC25),,
PF24055,1,0.0625,cloud,POL3_N,"DNA polymerase delta catalytic subunit-like, N-terminal domain",,
PF09180,1,0.0625,cloud,ProRS-C_1,"Prolyl-tRNA synthetase, C-terminal",,
PF07016,1,0.0625,cloud,CRAM_rpt,Cysteine-rich acidic integral membrane protein precursor,,
PF07418,1,0.0625,cloud,PCEMA1,Acidic phosphoprotein precursor PCEMA1,,
PF23634,1,0.0625,cloud,PH_CERLI1,CERLI1-like PH domain,CL0266,PH
PF23511,1,0.0625,cloud,ISD11,ISD11 family,CL0491,LYR-like
PF07529,1,0.0625,cloud,HSA,HSA domain,,
PF05756,1,0.0625,cloud,S-antigen,S-antigen protein,,
PF22919,1,0.0625,cloud,ATP-synt_VA_C,C-terminal domain of V and A type ATP synthase,,
PF08773,1,0.0625,cloud,CathepsinC_exc,Cathepsin C exclusion domain,CL0116,Calycin
PF14580,1,0.0625,cloud,LRR_9,Leucine-rich repeat,CL0022,LRR
PF21948,1,0.0625,cloud,LplA-B_cat,Lipoyl protein ligase A/B catalytic domain,CL0040,tRNA_synt_II
PF09687,1,0.0625,cloud,PRESAN,Plasmodium RESA N-terminal,,
PF13288,1,0.0625,cloud,DXPR_C,DXP reductoisomerase C-terminal domain,CL0063,NADP_Rossmann
PF13365,1,0.0625,cloud,Trypsin_2,Trypsin-like peptidase domain,CL0124,Peptidase_PA
PF17815,1,0.0625,cloud,PDZ_3,PDZ domain,CL0466,PDZ-like
PF13405,1,0.0625,cloud,EF-hand_6,EF-hand domain,CL0220,EF_hand
PF17777,1,0.0625,cloud,RL10P_insert,Insertion domain in 60S ribosomal protein L10P,,
PF17759,1,0.0625,cloud,tRNA_synthFbeta,Phenylalanyl tRNA synthetase beta chain CLM domain,CL0040,tRNA_synt_II
PF13414,1,0.0625,cloud,TPR_11,TPR repeat,CL0020,TPR
PF13432,1,0.0625,cloud,TPR_16,Tetratricopeptide repeat,CL0020,TPR
PF13476,1,0.0625,cloud,AAA_23,AAA domain,CL0023,P-loop_NTPase
PF13481,1,0.0625,cloud,AAA_25,AAA domain,CL0023,P-loop_NTPase
PF17432,1,0.0625,cloud,DUF3458_C,Domain of unknown function (DUF3458_C) ARM repeats,CL0020,TPR
PF16898,1,0.0625,cloud,TOPRIM_C,C-terminal associated domain of TOPRIM,,
PF16886,1,0.0625,cloud,ATP-synt_ab_Xtn,ATPsynthase alpha/beta subunit barrel-sandwich domain,CL0105,Hybrid
PF16830,1,0.0625,cloud,NBD94,Nucleotide-Binding Domain 94 of RH,,
PF13646,1,0.0625,cloud,HEAT_2,HEAT repeats,CL0020,TPR
PF13649,1,0.0625,cloud,Methyltransf_25,Methyltransferase domain,CL0063,NADP_Rossmann
PF04998,1,0.0625,cloud,RNA_pol_Rpb1_5,"RNA polymerase Rpb1, domain 5",,
PF13921,1,0.0625,cloud,Myb_DNA-bind_6,Myb-like DNA-binding domain,CL0123,HTH
PF13959,1,0.0625,cloud,CTE_SPB4,"ATP-dependent rRNA helicase SPB4-like, C-terminal extension",,
PF16211,1,0.0625,cloud,Histone_H2A_C,C-terminus of histone H2A,,
PF16189,1,0.0625,cloud,Creatinase_N_2,Creatinase/Prolidase N-terminal domain,CL0356,AMP_N-like
PF16188,1,0.0625,cloud,Peptidase_M24_C,C-terminal region of peptidase_M24,,
PF14260,1,0.0625,cloud,zf-C4pol,C4-type zinc-finger of DNA polymerase delta,,
PF14308,1,0.0625,cloud,DnaJ-X,X-domain of DnaJ-containing,,
PF15801,1,0.0625,cloud,zf-C6H2,"zf-MYND-like zinc finger, mRNA-binding",CL0175,TRASH
PF13246,1,0.0625,cloud,Cation_ATPase,"P-type ATPase, cytoplasmic domain N",CL0137,HAD
PF17852,1,0.0625,cloud,Dynein_AAA_lid,Dynein heavy chain AAA lid domain,,
PF17857,1,0.0625,cloud,AAA_lid_1,AAA+ lid domain,CL0671,AAA_lid
PF12774,1,0.0625,cloud,AAA_6,Hydrolytic ATP binding site of dynein motor region,CL0023,P-loop_NTPase
PF09716,1,0.0625,cloud,ETRAMP,Malarial early transcribed membrane protein (ETRAMP),,
PF21639,1,0.0625,cloud,ORC5_lid,"ORC5, lid domain",CL0671,AAA_lid
PF14630,1,0.0625,cloud,ORC5_C,Origin recognition complex (ORC) subunit 5 C-terminus,CL0123,HTH
PF21369,1,0.0625,cloud,STL11_N,"STL11, N-terminal",CL0229,RING
PF10437,1,0.0625,cloud,Lip_prot_lig_C,Bacterial lipoate protein ligase C-terminus,CL0233,SufE_NifU
PF10511,1,0.0625,cloud,Cementoin,Trappin protein transglutaminase binding domain,,
PF11940,1,0.0625,cloud,DUF3458,Domain of unknown function (DUF3458) Ig-like fold,CL0159,E-set
PF18638,1,0.0625,cloud,CyRPA,Cysteine-Rich Protective Antigen 6 bladed domain,CL0186,Beta_propeller
PF18513,1,0.0625,cloud,Pro_sub2,Prodomain subtilisin 2,CL0570,PPP-I
PF12451,1,0.0625,cloud,VPS11_C,Vacuolar protein sorting protein 11 C terminal,,
PF18262,1,0.0625,cloud,PhetRS_B1,Phe-tRNA synthetase beta subunit B1 domain,CL0123,HTH
PF12775,1,0.0625,cloud,AAA_7,P-loop containing dynein motor region,CL0023,P-loop_NTPase
PF13238,1,0.0625,cloud,AAA_18,AAA domain,CL0023,P-loop_NTPase
PF12777,1,0.0625,cloud,MT,Microtubule-binding stalk of dynein motor,,
PF12780,1,0.0625,cloud,AAA_8,P-loop containing dynein motor region D4,CL0023,P-loop_NTPase
PF12781,1,0.0625,cloud,AAA_9,ATP-binding dynein motor region,CL0023,P-loop_NTPase
PF18253,1,0.0625,cloud,HipN,Hsp70-interacting protein N N-terminal domain,,
PF18199,1,0.0625,cloud,Dynein_C,Dynein heavy chain C-terminal domain,,
PF13041,1,0.0625,cloud,PPR_2,PPR repeat family ,CL0020,TPR
PF13181,1,0.0625,cloud,TPR_8,Tetratricopeptide repeat,CL0020,TPR
PF18198,1,0.0625,cloud,AAA_lid_11,Dynein heavy chain AAA lid domain,CL0671,AAA_lid
PF17986,1,0.0625,cloud,EKAL,EMP3-KAHRP-like N-terminal domain,,
PF17900,1,0.0625,cloud,Peptidase_M1_N,Peptidase M1 N-terminal domain,CL0672,p35
PF17862,1,0.0625,cloud,AAA_lid_3,AAA+ lid domain,CL0671,AAA_lid
PF05000,1,0.0625,cloud,RNA_pol_Rpb1_4,"RNA polymerase Rpb1, domain 4",,
PF00004,1,0.0625,cloud,AAA,ATPase family associated with various cellular activities (AAA),CL0023,P-loop_NTPase
PF04997,1,0.0625,cloud,RNA_pol_Rpb1_1,"RNA polymerase Rpb1, domain 1",,
PF00436,1,0.0625,cloud,SSB,Single-strand binding protein family,CL0021,OB
PF00664,1,0.0625,cloud,ABC_membrane,ABC transporter transmembrane region,CL0241,ABC_membrane
PF00650,1,0.0625,cloud,CRAL_TRIO,CRAL/TRIO domain,CL0512,CRAL_TRIO
PF00642,1,0.0625,cloud,zf-CCCH,Zinc finger C-x8-C-x5-C-x3-H type (and similar),CL0537,CCCH_zf
PF00623,1,0.0625,cloud,RNA_pol_Rpb1_2,"RNA polymerase Rpb1, domain 2",,
PF00589,1,0.0625,cloud,Phage_integrase,Phage integrase family,CL0382,DNA-mend
PF00587,1,0.0625,cloud,tRNA-synt_2b,"tRNA synthetase class II core domain (G, H, P, S and T)",CL0040,tRNA_synt_II
PF00562,1,0.0625,cloud,RNA_pol_Rpb2_6,"RNA polymerase Rpb2, domain 6",CL0410,LEF-8-like
PF00557,1,0.0625,cloud,Peptidase_M24,Metallopeptidase family M24,,
PF00521,1,0.0625,cloud,DNA_topoisoIV,"DNA gyrase/topoisomerase IV, subunit A",,
PF00515,1,0.0625,cloud,TPR_1,Tetratricopeptide repeat,CL0020,TPR
PF00510,1,0.0625,cloud,COX3,Cytochrome c oxidase subunit III,,
PF00501,1,0.0625,cloud,AMP-binding,AMP-binding enzyme,CL0378,ANL
PF00479,1,0.0625,cloud,G6PD_N,"Glucose-6-phosphate dehydrogenase, NAD binding domain",CL0063,NADP_Rossmann
PF00476,1,0.0625,cloud,DNA_pol_A,DNA polymerase family A,,
PF00466,1,0.0625,cloud,Ribosomal_L10,Ribosomal protein L10,,
PF00675,1,0.0625,cloud,Peptidase_M16,Insulinase (Peptidase family M16),CL0094,Peptidase_ME
PF00689,1,0.0625,cloud,Cation_ATPase_C,"Cation transporting ATPase, C-terminus",,
PF00690,1,0.0625,cloud,Cation_ATPase_N,"Cation transporter/ATPase, N-terminus",,
PF00861,1,0.0625,cloud,Ribosomal_L18p,"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast",CL0267,S11_L18p
PF01088,1,0.0625,cloud,Peptidase_C12,"Ubiquitin carboxyl-terminal hydrolase, family 1",CL0125,Peptidase_CA
PF01031,1,0.0625,cloud,Dynamin_M,Dynamin central region,,
PF00985,1,0.0625,cloud,MSA_2,Merozoite Surface Antigen 2 (MSA-2) family,,
PF00958,1,0.0625,cloud,GMP_synt_C,GMP synthase C terminal domain,,
PF00956,1,0.0625,cloud,NAP,Nucleosome assembly protein (NAP),,
PF00935,1,0.0625,cloud,Ribosomal_L44,Ribosomal protein L44,CL0167,Zn_Beta_Ribbon
PF00856,1,0.0625,cloud,SET,SET domain,CL0489,SAF
PF00704,1,0.0625,cloud,Glyco_hydro_18,Glycosyl hydrolases family 18,CL0036,TIM_barrel
PF00847,1,0.0625,cloud,AP2,AP2 domain,CL0081,MBD-like
PF00810,1,0.0625,cloud,ER_lumen_recept,ER lumen protein retaining receptor,CL0141,MtN3-like
PF00782,1,0.0625,cloud,DSPc,"Dual specificity phosphatase, catalytic domain",CL0031,Phosphatase
PF00719,1,0.0625,cloud,Pyrophosphatase,Inorganic pyrophosphatase,,
PF00717,1,0.0625,cloud,Peptidase_S24,Peptidase S24-like,CL0299,Peptidase_SF
PF00705,1,0.0625,cloud,PCNA_N,"Proliferating cell nuclear antigen, N-terminal domain",CL0060,DNA_clamp
PF00464,1,0.0625,cloud,SHMT,Serine hydroxymethyltransferase,CL0061,PLP_aminotran
PF00428,1,0.0625,cloud,Ribosomal_60s,60s Acidic ribosomal protein,,
PF04992,1,0.0625,cloud,RNA_pol_Rpb1_6,"RNA polymerase Rpb1, domain 6",,
PF00406,1,0.0625,cloud,ADK,Adenylate kinase,CL0023,P-loop_NTPase
PF00162,1,0.0625,cloud,PGK,Phosphoglycerate kinase,,
PF00156,1,0.0625,cloud,Pribosyltran,Phosphoribosyl transferase domain,CL0533,PRTase-like
PF00153,1,0.0625,cloud,Mito_carr,Mitochondrial carrier protein,,
PF00136,1,0.0625,cloud,DNA_pol_B,DNA polymerase family B,CL0194,DNA_pol_B-like
PF00125,1,0.0625,cloud,Histone,Core histone H2A/H2B/H3/H4 domain,CL0012,Histone
PF00122,1,0.0625,cloud,E1-E2_ATPase,P-type ATPase actuator domain,,
PF00121,1,0.0625,cloud,TIM,Triosephosphate isomerase,CL0036,TIM_barrel
PF00118,1,0.0625,cloud,Cpn60_TCP1,TCP-1/cpn60 chaperonin family,,
PF00117,1,0.0625,cloud,GATase,Glutamine amidotransferase class-I,CL0014,Glutaminase_I
PF00111,1,0.0625,cloud,Fer2,2Fe-2S iron-sulfur cluster binding domain,CL0486,Fer2
PF00097,1,0.0625,cloud,zf-C3HC4,"Zinc finger, C3HC4 type (RING finger)",CL0229,RING
PF00071,1,0.0625,cloud,Ras,Ras family,CL0023,P-loop_NTPase
PF00025,1,0.0625,cloud,Arf,ADP-ribosylation factor family,CL0023,P-loop_NTPase
PF00023,1,0.0625,cloud,Ank,Ankyrin repeat,CL0465,Ank
PF00006,1,0.0625,cloud,ATP-synt_ab,"ATP synthase alpha/beta family, nucleotide-binding domain",CL0023,P-loop_NTPase
PF00168,1,0.0625,cloud,C2,C2 domain,CL0154,C2
PF00175,1,0.0625,cloud,NAD_binding_1,Oxidoreductase NAD-binding domain ,CL0091,NAD_Ferredoxin
PF00176,1,0.0625,cloud,SNF2-rel_dom,SNF2-related domain,CL0023,P-loop_NTPase
PF00270,1,0.0625,cloud,DEAD,DEAD/DEAH box helicase,CL0023,P-loop_NTPase
PF00352,1,0.0625,cloud,TBP,"Transcription factor TFIID (or TATA-binding protein, TBP)",CL0407,TBP-like
