domain_accession,n_proteins,n_instances,n_species,n_clades,n_reviewed_carriers,species_list,n_unreviewed_carriers,reviewed_fraction,pct_of_proteome,instances_per_carrier,domain_name,description,clan_accession,clan_id
PF02009,735,735,3,2,0,Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,735,0.0,0.574,1.0,RIFIN,Rifin,CL0656,VSA
PF12879,662,662,14,6,0,Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vivax,662,0.0,0.517,1.0,SICA_C,SICA C-terminal inner membrane domain ,,
PF00226,641,641,20,7,1,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,640,0.0016,0.5,1.0,DnaJ,DnaJ domain,CL0392,Chaperone-J
PF00009,449,449,20,7,4,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,445,0.0089,0.35,1.0,GTP_EFTU,Elongation factor Tu GTP binding domain,CL0023,P-loop_NTPase
PF01926,442,442,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,442,0.0,0.345,1.0,MMR_HSR1,50S ribosome-binding GTPase,CL0023,P-loop_NTPase
PF12887,442,442,4,2,0,Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium fragile; Plasmodium knowlesi,442,0.0,0.345,1.0,SICA_alpha,SICA extracellular alpha domain,CL0474,SICA_like
PF13499,399,399,20,7,15,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,384,0.0376,0.311,1.0,EF-hand_7,EF-hand domain pair,CL0220,EF_hand
PF00847,393,393,20,7,1,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,392,0.0025,0.307,1.0,AP2,AP2 domain,CL0081,MBD-like
PF12319,382,382,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,382,0.0,0.298,1.0,TryThrA_C,Tryptophan-Threonine-rich plasmodium antigen C terminal,,
PF00005,340,340,20,7,4,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,336,0.0118,0.265,1.0,ABC_tran,ABC transporter,CL0023,P-loop_NTPase
PF17862,333,333,20,7,1,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,332,0.003,0.26,1.0,AAA_lid_3,AAA+ lid domain,CL0671,AAA_lid
PF00227,333,333,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,333,0.0,0.26,1.0,Proteasome,Proteasome subunit,CL0052,NTN
PF00085,329,329,20,7,4,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,325,0.0122,0.257,1.0,Thioredoxin,Thioredoxin,CL0172,Thioredoxin
PF08373,327,327,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,327,0.0,0.255,1.0,RAP,RAP domain,CL0236,PDDEXK
PF00149,324,324,20,7,2,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,322,0.0062,0.253,1.0,Metallophos,Calcineurin-like phosphoesterase,CL0163,Calcineurin
PF12146,324,324,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,324,0.0,0.253,1.0,Hydrolase_4,"Serine aminopeptidase, S33",CL0028,AB_hydrolase
PF05424,317,317,17,6,2,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium gaboni; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,315,0.0063,0.247,1.0,Duffy_binding,Duffy binding domain,CL0195,DBL
PF01423,317,317,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,317,0.0,0.247,1.0,LSM,LSM domain,CL0986,Sm-like
PF12796,315,315,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,315,0.0,0.246,1.0,Ank_2,Ankyrin repeats (3 copies),CL0465,Ank
PF00071,306,306,20,7,1,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,305,0.0033,0.239,1.0,Ras,Ras family,CL0023,P-loop_NTPase
PF00179,304,304,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,304,0.0,0.237,1.0,UQ_con,Ubiquitin-conjugating enzyme,CL0208,UBC
PF12878,299,299,3,2,0,Plasmodium coatneyi; Plasmodium fragile; Plasmodium knowlesi,299,0.0,0.233,1.0,SICA_beta,SICA extracellular beta domain,CL0474,SICA_like
PF00112,293,293,20,7,10,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,283,0.0341,0.229,1.0,Peptidase_C1,Papain family cysteine protease,CL0125,Peptidase_CA
PF00153,288,288,20,7,1,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,287,0.0035,0.225,1.0,Mito_carr,Mitochondrial carrier protein,,
PF00240,274,274,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,274,0.0,0.214,1.0,ubiquitin,Ubiquitin family,CL0072,Ubiquitin
PF07690,259,259,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,259,0.0,0.202,1.0,MFS_1,Major Facilitator Superfamily,CL0015,MFS
PF09716,259,259,20,7,2,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,257,0.0077,0.202,1.0,ETRAMP,Malarial early transcribed membrane protein (ETRAMP),,
PF07422,255,255,20,7,19,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,236,0.0745,0.199,1.0,s48_45,Sexual stage antigen s48/45 domain,,
PF00566,254,254,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,254,0.0,0.198,1.0,RabGAP-TBC,Rab-GTPase-TBC domain,CL0816,TBC-like
PF01529,252,252,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,252,0.0,0.197,1.0,DHHC,DHHC palmitoyltransferase,,
PF15445,249,249,3,2,0,Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,249,0.0,0.194,1.0,ATS,"acidic terminal segments, variant surface antigen of PfEMP1",,
PF00022,245,245,20,7,6,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,239,0.0245,0.191,1.0,Actin,Actin,CL0108,Actin_ATPase
PF00160,242,242,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,242,0.0,0.189,1.0,Pro_isomerase,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,CL0475,Cyclophil-like
PF00176,240,240,20,7,1,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,239,0.0042,0.187,1.0,SNF2-rel_dom,SNF2-related domain,CL0023,P-loop_NTPase
PF24681,236,236,20,7,1,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,235,0.0042,0.184,1.0,Kelch_KLHDC2_KLHL20_DRC7,KLHDC2/KLHL20/DRC7 Kelch-repeats domain,CL0186,Beta_propeller
PF00481,231,231,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,231,0.0,0.18,1.0,PP2C,Protein phosphatase 2C,CL0238,PP2C
PF13639,228,228,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,228,0.0,0.178,1.0,zf-RING_2,Ring finger domain,CL0229,RING
PF12314,227,227,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,227,0.0,0.177,1.0,IMCp,Inner membrane complex protein,,
PF00118,225,225,20,7,1,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,224,0.0044,0.176,1.0,Cpn60_TCP1,TCP-1/cpn60 chaperonin family,,
PF22672,225,225,3,2,0,Plasmodium falciparum; Plasmodium gaboni; Plasmodium reichenowi,225,0.0,0.176,1.0,DBL_C,"Duffy-binding-like domain, C-terminal subdomain",CL0195,DBL
PF00225,223,223,20,7,0,Plasmodium berghei; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium falciparum; Plasmodium fragile; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium knowlesi; Plasmodium malariae; Plasmodium ovale; Plasmodium ovale wallikeri; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii,223,0.0,0.174,1.0,Kinesin,Kinesin motor domain,CL0023,P-loop_NTPase
PF09592,223,223,4,1,0,Plasmodium berghei; Plasmodium chabaudi; Plasmodium vinckei petteri; Plasmodium yoelii,223,0.0,0.174,1.0,DUF2031,Protein of unknown function (DUF2031),,
PF03011,211,211,5,4,0,Plasmodium falciparum; Plasmodium gaboni; Plasmodium gonderi; Plasmodium knowlesi; Plasmodium reichenowi,211,0.0,0.165,1.0,PFEMP,PFEMP1 DBL domain,CL0195,DBL
