domain_a,domain_b,n_AB,n_A,n_B,N,expected_AB,jaccard,lift,pmi_log2,fisher_p,obligate_pair,same_clan,clan_a,clan_b,q_value,significant_q05,headline_eligible,name_a,name_b
PF04084,PF24882,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0023,CL0123,1.3601661362487265e-86,True,False,RecA-like_ORC2,WHD_ORC2
PF00109,PF02801,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0046,CL0046,1.3601661362487265e-86,True,False,ketoacyl-synt,Ketoacyl-synt_C
PF22912,PF23250,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,zf-DPOE,zf_DPOE_2
PF24631,PF24632,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0159,CL0159,1.3601661362487265e-86,True,False,DUF7628,DUF7629
PF24631,PF24639,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0159,CL0159,1.3601661362487265e-86,True,False,DUF7628,DUF7634
PF24631,PF24640,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0159,CL0186,1.3601661362487265e-86,True,False,DUF7628,DUF7635
PF24632,PF24639,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0159,CL0159,1.3601661362487265e-86,True,False,DUF7629,DUF7634
PF24632,PF24640,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0159,CL0186,1.3601661362487265e-86,True,False,DUF7629,DUF7635
PF24639,PF24640,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0159,CL0186,1.3601661362487265e-86,True,False,DUF7634,DUF7635
PF13242,PF13344,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0137,CL0137,1.3601661362487265e-86,True,False,Hydrolase_like,Hydrolase_6
PF01749,PF16186,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0020,CL0020,1.3601661362487265e-86,True,False,IBB,Arm_3
PF00438,PF02772,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,S-AdoMet_synt_N,S-AdoMet_synt_M
PF00438,PF02773,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,S-AdoMet_synt_N,S-AdoMet_synt_C
PF02772,PF02773,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,S-AdoMet_synt_M,S-AdoMet_synt_C
PF11931,PF12108,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0361,,1.3601661362487265e-86,True,False,SF3a60_Prp9_C,SF3a60_bindingd
PF04263,PF04265,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0948,,1.3601661362487265e-86,True,False,TPK_catalytic,TPK_B1_binding
PF00327,PF08079,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,Ribosomal_L30,Ribosomal_L30_N
PF05681,PF05683,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,Fumerase,Fumerase_C
PF09416,PF18141,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0229,CL0866,1.3601661362487265e-86,True,False,UPF1_Zn_bind,UPF1_1B_dom
PF22941,PF25299,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0229,1.3601661362487265e-86,True,False,TADA2A-like_3rd,ZZ_ADA2
PF04551,PF26540,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0036,,1.3601661362487265e-86,True,False,GcpE,GcpE_C
PF00186,PF00303,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0387,,1.3601661362487265e-86,True,False,DHFR_1,Thymidylat_synt
PF01380,PF13522,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0067,CL0052,1.3601661362487265e-86,True,False,SIS,GATase_6
PF08772,PF17146,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0167,CL0280,1.3601661362487265e-86,True,False,Zn_ribbon_NOB1,PIN_6
PF05127,PF08351,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0023,CL0023,1.3601661362487265e-86,True,False,NAT10_TcmA_helicase,TmcA_N
PF05127,PF13718,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0023,CL0257,1.3601661362487265e-86,True,False,NAT10_TcmA_helicase,GNAT_acetyltr_2
PF05127,PF13725,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0023,CL0123,1.3601661362487265e-86,True,False,NAT10_TcmA_helicase,tRNA_bind_2
PF08351,PF13718,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0023,CL0257,1.3601661362487265e-86,True,False,TmcA_N,GNAT_acetyltr_2
PF08351,PF13725,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0023,CL0123,1.3601661362487265e-86,True,False,TmcA_N,tRNA_bind_2
PF13718,PF13725,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0257,CL0123,1.3601661362487265e-86,True,False,GNAT_acetyltr_2,tRNA_bind_2
PF00534,PF08288,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0113,CL0113,1.3601661362487265e-86,True,False,Glycos_transf_1,PIGA
PF00890,PF02910,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0063,,1.3601661362487265e-86,True,False,FAD_binding_2,Succ_DH_flav_C
PF01028,PF02919,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0382,,1.3601661362487265e-86,True,False,Topoisom_I,Topoisom_I_N
PF01028,PF14370,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0382,,1.3601661362487265e-86,True,False,Topoisom_I,Topo_C_assoc
PF02919,PF14370,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,Topoisom_I_N,Topo_C_assoc
PF08644,PF14826,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0266,CL0356,1.3601661362487265e-86,True,False,SPT16,FACT-Spt16_Nlob
PF08644,PF24824,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0266,CL0266,1.3601661362487265e-86,True,False,SPT16,PH_SPT16
PF14826,PF24824,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0356,CL0266,1.3601661362487265e-86,True,False,FACT-Spt16_Nlob,PH_SPT16
PF00670,PF05221,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0063,CL0063,1.3601661362487265e-86,True,False,AdoHcyase_NAD,AdoHcyase
PF00349,PF03727,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0108,CL0108,1.3601661362487265e-86,True,False,Hexokinase_1,Hexokinase_2
PF02359,PF02933,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0199,CL0402,1.3601661362487265e-86,True,False,CDC48_N,CDC48_2
PF04073,PF09180,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,tRNA_edit,ProRS-C_1
PF04926,PF04928,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,PAP_RNA-bind,PAP_central
PF04926,PF20750,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0260,1.3601661362487265e-86,True,False,PAP_RNA-bind,PAP_NTPase
PF04928,PF20750,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0260,1.3601661362487265e-86,True,False,PAP_central,PAP_NTPase
PF17767,PF17956,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0105,,1.3601661362487265e-86,True,False,NAPRTase_N,NAPRTase_C
PF01287,PF21485,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0021,CL0010,1.3601661362487265e-86,True,False,eIF-5a,IF5A-like_N
PF04446,PF14413,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,Thg1,Thg1C
PF23147,PF23152,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0070,1.3601661362487265e-86,True,False,GDH2_N,GDH_2nd
PF04840,PF04841,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0020,CL0186,1.3601661362487265e-86,True,False,Vps16_C,Vps16_N
PF01068,PF04675,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0179,,1.3601661362487265e-86,True,False,DNA_ligase_A_M,DNA_ligase_A_N
PF01068,PF04679,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0179,CL0021,1.3601661362487265e-86,True,False,DNA_ligase_A_M,DNA_ligase_A_C
PF04675,PF04679,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0021,1.3601661362487265e-86,True,False,DNA_ligase_A_N,DNA_ligase_A_C
PF00551,PF02911,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,,1.3601661362487265e-86,True,False,Formyl_trans_N,Formyl_trans_C
PF11940,PF17432,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0159,CL0020,1.3601661362487265e-86,True,False,DUF3458,DUF3458_C
PF11940,PF17900,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0159,CL0672,1.3601661362487265e-86,True,False,DUF3458,Peptidase_M1_N
PF17432,PF17900,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0020,CL0672,1.3601661362487265e-86,True,False,DUF3458_C,Peptidase_M1_N
PF08375,PF25573,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0020,1.3601661362487265e-86,True,False,Rpn3_C,TPR_PSMD3_N
PF00330,PF00694,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0364,1.3601661362487265e-86,True,False,Aconitase,Aconitase_C
PF00344,PF10559,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0376,,1.3601661362487265e-86,True,False,SecY,Plug_translocon
PF16399,PF21143,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0020,CL0866,1.3601661362487265e-86,True,False,Aquarius_N_1st,Aquarius_N_2nd
PF05185,PF17285,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0063,CL0036,1.3601661362487265e-86,True,False,PRMT5,PRMT5_TIM
PF05185,PF17286,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0063,CL0799,1.3601661362487265e-86,True,False,PRMT5,PRMT5_C
PF17285,PF17286,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0036,CL0799,1.3601661362487265e-86,True,False,PRMT5_TIM,PRMT5_C
PF08367,PF22516,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0094,CL0094,1.3601661362487265e-86,True,False,M16C_assoc,PreP_C
PF00370,PF02782,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0108,CL0108,1.3601661362487265e-86,True,False,FGGY_N,FGGY_C
PF01466,PF03931,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0033,1.3601661362487265e-86,True,False,Skp1,Skp1_POZ
PF00530,PF01477,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0550,CL0321,1.3601661362487265e-86,True,False,SRCR,PLAT
PF08324,PF09070,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,CL0020,,1.3601661362487265e-86,True,False,PUL,PFU
PF01536,PF02784,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,False,,CL0036,1.3601661362487265e-86,True,False,SAM_decarbox,Orn_Arg_deC_N
PF08068,PF16198,22,22,22,76215,0.006,1.0,3464.318,11.758,4.4380585951576675e-87,True,True,CL0649,CL0649,1.3601661362487265e-86,True,False,DKCLD,TruB_C_2
